DGP,Simulation,ATE,ATT,ATC,Estimator,Bias,RMSE,MAE,RESS,Balance,Time
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Diff-in-means,1.43114977759462,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Coeff:Linear,0.483092657927511,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Coeff:Linear:Lin,0.0303270500754906,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Coeff:Lasso,0.26011128370248,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:single:Lasso,0.340619735767388,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:single:xgboost,0.190483810251467,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:single:earth,0.21846719670422,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:single:Krls,0.12978679474485,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:single:SL,0.226266248112712,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:cross:Lasso,0.0387722131263546,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:cross:xgboost,0.314617349339413,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:cross:earth,-0.0831231274573483,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:cross:Krls,0.704496200234248,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,G-comp:cross:SL,-0.00548960452243952,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:PSM:Logit,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:PSM:Lasso,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:PSM:xgboost,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:PSM:earth,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:PSM:Krls,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:PSM:SL,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:IPW:Logit,0.58339254291011,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:IPW:Lasso,0.557411602665057,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:IPW:xgboost,0.964254030308567,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:IPW:earth,0.794927052242465,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:IPW:Krls,1.08046572711739,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:IPW:SL,0.920648420168427,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Ebal:raw,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Ebal:expand,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Yd:Lin,0.00714247064623796,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Yd:Lasso,0.526072606230933,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Yd:xgboost,0.186891704401739,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Yd:earth,0.214813110325956,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Yd:Krls,0.851679089285734,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Yd:SL,0.207637431203208,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,Bal:Yd:all,0.167115678523371,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:AIPW:LogLin,8.11987962001659e-05,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:AIPW:Lasso,0.401431031558854,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:AIPW:xgboost,0.203678417738733,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:AIPW:grf,0.52515358609001,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:AIPW:earth,0.218474033351495,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:AIPW:Krls,0.713564535328476,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:AIPW:SL,0.229778922235522,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:TMLE:LogLin,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:TMLE:xgboost,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:TMLE:grf,7.65475369404928,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:TMLE:earth,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:TMLE:Krls,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:TMLE:SL,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:DML:LogLin,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:DML:xgboost,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:DML:earth,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:DML:Krls,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:DML:SL,,,,,,
1,1,2.1508352734676,2.7547937877728,2.01944673257666,PPSM:LinLin,,,,,,
