DGP,Simulation,ATE,ATT,ATC,Estimator,Bias,SE,RMSE,MAE,RESS,Balance,Time
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:DML:xgboost,1.87777964794487,,,,,,66.17
1,1,2.1508352734676,2.7547937877728,2.01944673257666,DR:DML:SL,0.256761698118521,,,,,,66.17
1,2,3.58148218746024,3.5505397327915,3.59323676363037,DR:DML:xgboost,-0.585048043184805,,,,,,66.52
1,2,3.58148218746024,3.5505397327915,3.59323676363037,DR:DML:SL,-0.129908444989706,,,,,,66.52
1,3,3.30160076273273,2.84806628504014,3.48974942053802,DR:DML:xgboost,-0.29373267511357,,,,,,68.24
1,3,3.30160076273273,2.84806628504014,3.48974942053802,DR:DML:SL,0.0110629351293361,,,,,,68.24
1,4,5.04439665604077,4.74587800942401,5.16973565018501,DR:DML:xgboost,-0.446939564015561,,,,,,67.03
1,4,5.04439665604077,4.74587800942401,5.16973565018501,DR:DML:SL,0.0534304009424869,,,,,,67.03
1,5,3.56480563455031,3.32951373284812,3.66468777971074,DR:DML:xgboost,-0.545916141811864,,,,,,68.62
1,5,3.56480563455031,3.32951373284812,3.66468777971074,DR:DML:SL,-0.424774409425742,,,,,,68.62
1,6,4.47307478190258,3.66531874650313,4.80214303782439,DR:DML:xgboost,12.7706453505104,,,,,,62.89
1,6,4.47307478190258,3.66531874650313,4.80214303782439,DR:DML:SL,-0.128122155066657,,,,,,62.89
1,7,3.61257050827959,4.16645653126121,3.43333616677451,DR:DML:xgboost,2.32411542923202,,,,,,64
1,7,3.61257050827959,4.16645653126121,3.43333616677451,DR:DML:SL,-0.302112851210016,,,,,,64
1,8,3.31004136407576,4.11060253545333,2.9772609243227,DR:DML:xgboost,-0.258794014856792,,,,,,65.92
1,8,3.31004136407576,4.11060253545333,2.9772609243227,DR:DML:SL,0.227884673238016,,,,,,65.92
1,9,6.09553221648347,6.05791036428125,6.11265585951611,DR:DML:xgboost,-2.7319534745811,,,,,,61.56
1,9,6.09553221648347,6.05791036428125,6.11265585951611,DR:DML:SL,0.276893038562252,,,,,,61.56
1,10,3.27759789135142,3.8492195505394,3.03854996772172,DR:DML:xgboost,-7.41083859177479,,,,,,68.47
1,10,3.27759789135142,3.8492195505394,3.03854996772172,DR:DML:SL,0.175169586001733,,,,,,68.47
1,11,4.1915072300854,4.25634148621612,4.16552057083113,DR:DML:xgboost,0.319877245141116,,,,,,65.03
1,11,4.1915072300854,4.25634148621612,4.16552057083113,DR:DML:SL,0.196470704949914,,,,,,65.03
1,12,3.4398433671601,4.73719169943102,2.91506046469426,DR:DML:xgboost,2.47480475126033,,,,,,65.8999999999999
1,12,3.4398433671601,4.73719169943102,2.91506046469426,DR:DML:SL,0.0188262874928129,,,,,,65.8999999999999
1,13,2.36543711504128,3.24745826035476,2.01370773900454,DR:DML:xgboost,-0.908892935903279,,,,,,64.25
1,13,2.36543711504128,3.24745826035476,2.01370773900454,DR:DML:SL,0.278623370115505,,,,,,64.25
1,14,2.43489792574075,2.61568751160476,2.35799929809364,DR:DML:xgboost,-0.365081669162797,,,,,,61.0200000000002
1,14,2.43489792574075,2.61568751160476,2.35799929809364,DR:DML:SL,0.0539051640997412,,,,,,61.0200000000002
1,15,4.80969854232222,4.53314852518056,4.92077058656825,DR:DML:xgboost,-1.32284346005248,,,,,,65.1600000000001
1,15,4.80969854232222,4.53314852518056,4.92077058656825,DR:DML:SL,-0.0267436071502809,,,,,,65.1600000000001
1,16,5.26846915801634,4.84863263632507,5.43554820463991,DR:DML:xgboost,0.196670210863477,,,,,,64.5799999999999
1,16,5.26846915801634,4.84863263632507,5.43554820463991,DR:DML:SL,0.241516346109335,,,,,,64.5799999999999
1,17,4.73037098295511,4.32235944761705,4.90426363315116,DR:DML:xgboost,5.80422829319527,,,,,,66.9100000000001
1,17,4.73037098295511,4.32235944761705,4.90426363315116,DR:DML:SL,-0.0189826592690645,,,,,,66.9100000000001
1,18,4.40623904090302,3.8915039072013,4.64256987864938,DR:DML:xgboost,1.42662651096591,,,,,,63.6699999999999
1,18,4.40623904090302,3.8915039072013,4.64256987864938,DR:DML:SL,0.105148923160553,,,,,,63.6699999999999
1,19,3.21511399342363,3.59056470740148,3.0915571434597,DR:DML:xgboost,-0.490144644702784,,,,,,59.1299999999999
1,19,3.21511399342363,3.59056470740148,3.0915571434597,DR:DML:SL,0.245879769441061,,,,,,59.1299999999999
1,20,5.80863952945327,4.72228673768452,6.15583059755634,DR:DML:xgboost,-0.459119855195011,,,,,,66.8799999999999
1,20,5.80863952945327,4.72228673768452,6.15583059755634,DR:DML:SL,0.120913673277713,,,,,,66.8799999999999
1,21,6.49195901710358,4.85383612726329,7.11685860051217,DR:DML:xgboost,0.0335104879895294,,,,,,62.1399999999999
1,21,6.49195901710358,4.85383612726329,7.11685860051217,DR:DML:SL,-0.044970278181018,,,,,,62.1399999999999
1,22,5.64644652399645,5.11505608197155,5.89089582128549,DR:DML:xgboost,-1.16153692643017,,,,,,62.29
1,22,5.64644652399645,5.11505608197155,5.89089582128549,DR:DML:SL,0.105454020471025,,,,,,62.29
1,23,0.856391452372386,0.712011649389399,0.910044158365207,DR:DML:xgboost,-0.0558532458547389,,,,,,64.05
1,23,0.856391452372386,0.712011649389399,0.910044158365207,DR:DML:SL,0.00795038511760027,,,,,,64.05
1,24,4.05249199358819,4.37742222744981,3.92541904581496,DR:DML:xgboost,0.364130311097786,,,,,,64.6900000000001
1,24,4.05249199358819,4.37742222744981,3.92541904581496,DR:DML:SL,-0.0115836631125497,,,,,,64.6900000000001
1,25,4.34621710669767,3.61352657878371,4.72237622109158,DR:DML:xgboost,-0.307414584949902,,,,,,69.1099999999997
1,25,4.34621710669767,3.61352657878371,4.72237622109158,DR:DML:SL,-0.177782939337788,,,,,,69.1099999999997
1,26,3.04461349207949,2.84865942698927,3.12971421210374,DR:DML:xgboost,1.05953755250064,,,,,,68.0900000000002
1,26,3.04461349207949,2.84865942698927,3.12971421210374,DR:DML:SL,0.376905366160271,,,,,,68.0900000000002
1,27,4.93805979620464,4.70690043507782,5.03599241614246,DR:DML:xgboost,-0.249239057253551,,,,,,66.8899999999999
1,27,4.93805979620464,4.70690043507782,5.03599241614246,DR:DML:SL,0.130680208377189,,,,,,66.8899999999999
1,28,3.57697889799869,2.60141201855572,3.96999868378655,DR:DML:xgboost,0.600377153430388,,,,,,62.8600000000001
1,28,3.57697889799869,2.60141201855572,3.96999868378655,DR:DML:SL,0.530903354072005,,,,,,62.8600000000001
1,29,2.95914202381533,2.93298180509188,2.97010395943881,DR:DML:xgboost,-3.47486726666368,,,,,,61.4200000000001
1,29,2.95914202381533,2.93298180509188,2.97010395943881,DR:DML:SL,-0.343602237539425,,,,,,61.4200000000001
1,30,4.56006404169024,3.85061621471888,4.86152673849231,DR:DML:xgboost,-0.510794854446469,,,,,,61.3800000000001
1,30,4.56006404169024,3.85061621471888,4.86152673849231,DR:DML:SL,0.0572628868238132,,,,,,61.3800000000001
