DGP,Simulation,algorithm,time
2,4,SL:pps,1.39500000000001
2,4,Bal:SL:ps,0
2,4,Bal:SL:Yd,0
2,4,Bal:SL:pps,0.00199999999998113
2,5,Krls:single,0.0160000000000196
2,5,SL:single,3.15799999999999
2,5,Krls:cross,0.0440000000000111
2,5,SL:cross,2.476
2,5,Krls:ps,0.0150000000000148
2,5,SL:ps,2.93199999999999
2,5,Krls:pps,0.0130000000000052
2,5,SL:pps,2.34399999999999
2,5,Bal:SL:ps,0
2,5,Bal:SL:Yd,0
2,5,Bal:SL:pps,0.00199999999998113
2,6,Krls:single,0.00800000000000978
2,6,SL:single,3.22200000000001
2,6,Krls:cross,0.0349999999999966
2,6,SL:cross,2.649
2,6,Krls:ps,0.0260000000000105
2,6,SL:ps,3.33999999999998
2,6,Krls:pps,0.00800000000000978
2,6,SL:pps,2.32900000000001
2,6,Bal:SL:ps,0
2,6,Bal:SL:Yd,0.0029999999999859
2,6,Bal:SL:pps,0.000999999999976353
2,7,Krls:single,0.007000000000005
2,7,SL:single,3.268
2,7,Krls:cross,0.0390000000000157
2,7,SL:cross,2.643
2,7,Krls:ps,0.0169999999999959
2,7,SL:ps,3.32499999999999
2,7,Krls:pps,0.0120000000000005
2,7,SL:pps,2.73500000000001
2,7,Bal:SL:ps,0
2,7,Bal:SL:Yd,0
2,7,Bal:SL:pps,0.00100000000000477
2,8,Krls:single,0.00600000000000023
2,8,SL:single,3.578
2,8,Krls:cross,0.0420000000000016
2,8,SL:cross,3.14500000000001
2,8,Krls:ps,0.0180000000000007
2,8,SL:ps,3.101
2,8,Krls:pps,0.0169999999999959
2,8,SL:pps,1.65200000000002
2,8,Bal:SL:ps,0
2,8,Bal:SL:Yd,0
2,8,Bal:SL:pps,0.00100000000000477
2,9,Krls:single,0.01400000000001
2,9,SL:single,3.38200000000001
2,9,Krls:cross,0.0459999999999923
2,9,SL:cross,3.423
2,9,Krls:ps,0.0190000000000055
2,9,SL:ps,3.762
2,9,Krls:pps,0.0229999999999677
2,9,SL:pps,2.55100000000004
2,9,Bal:SL:ps,0.0010000000000332
2,9,Bal:SL:Yd,0.00100000000000477
2,9,Bal:SL:pps,0.00200000000000955
2,10,Krls:single,0.01400000000001
2,10,SL:single,3.32800000000003
2,10,Krls:cross,0.0450000000000159
2,10,SL:cross,2.113
2,10,Krls:ps,0.0129999999999768
2,10,SL:ps,3.14800000000002
2,10,Krls:pps,0.0080000000000382
2,10,SL:pps,1.61599999999999
2,10,Bal:SL:ps,0
2,10,Bal:SL:Yd,0
2,10,Bal:SL:pps,0.000999999999976353
3,1,Krls:single,0.00999999999999091
3,1,SL:single,3.471
3,1,Krls:cross,0.0419999999999732
3,1,SL:cross,2.49599999999998
3,1,Krls:ps,0.0190000000000055
3,1,SL:ps,3.30599999999998
3,1,Krls:pps,0.00900000000001455
3,1,SL:pps,2.33299999999997
3,1,Bal:SL:ps,0.0010000000000332
3,1,Bal:SL:Yd,0
3,1,Bal:SL:pps,0.000999999999976353
3,2,Krls:single,0.00600000000002865
3,2,SL:single,3.67599999999999
3,2,Krls:cross,0.0459999999999923
3,2,SL:cross,2.642
3,2,Krls:ps,0.0109999999999673
3,2,SL:ps,3.37199999999996
3,2,Krls:pps,0.0149999999999864
3,2,SL:pps,2.84500000000003
3,2,Bal:SL:ps,0
3,2,Bal:SL:Yd,0.00899999999995771
3,2,Bal:SL:pps,0.00199999999995271
3,3,Krls:single,0.0129999999999768
3,3,SL:single,3.39500000000004
3,3,Krls:cross,0.0449999999999591
3,3,SL:cross,2.58199999999999
3,3,Krls:ps,0.0149999999999864
3,3,SL:ps,3.40600000000001
3,3,Krls:pps,0.00900000000001455
3,3,SL:pps,2.63299999999998
3,3,Bal:SL:ps,0.0010000000000332
3,3,Bal:SL:Yd,0.00600000000002865
3,3,Bal:SL:pps,0.000999999999976353
3,4,Krls:single,0.00499999999999545
3,4,SL:single,3.60199999999998
3,4,Krls:cross,0.0449999999999591
3,4,SL:cross,2.96600000000001
3,4,Krls:ps,0.0149999999999864
3,4,SL:ps,3.15100000000001
3,4,Krls:pps,0.00999999999999091
3,4,SL:pps,2.733
3,4,Bal:SL:ps,0.0010000000000332
3,4,Bal:SL:Yd,0.000999999999976353
3,4,Bal:SL:pps,0.000999999999976353
3,5,Krls:single,0.007000000000005
3,5,SL:single,3.52199999999999
3,5,Krls:cross,0.049000000000035
3,5,SL:cross,3.30500000000001
3,5,Krls:ps,0.0230000000000246
3,5,SL:ps,3.44
3,5,Krls:pps,0.0249999999999773
3,5,SL:pps,2.52999999999997
3,5,Bal:SL:ps,0.0010000000000332
3,5,Bal:SL:Yd,0
3,5,Bal:SL:pps,0.00200000000000955
3,6,Krls:single,0.00499999999999545
3,6,SL:single,3.64799999999997
3,6,Krls:cross,0.0470000000000255
3,6,SL:cross,2.97000000000003
3,6,Krls:ps,0.0110000000000241
3,6,SL:ps,3.08999999999998
3,6,Krls:pps,0.0220000000000482
3,6,SL:pps,3.125
3,6,Bal:SL:ps,0
3,6,Bal:SL:Yd,0.0040000000000191
3,6,Bal:SL:pps,0.0010000000000332
3,7,Krls:single,0.01400000000001
3,7,SL:single,4.68599999999998
3,7,Krls:cross,0.0550000000000068
3,7,SL:cross,2.99700000000001
3,7,Krls:ps,0.0120000000000005
3,7,SL:ps,3.60000000000002
3,7,Krls:pps,0.00499999999999545
3,7,SL:pps,2.28199999999998
3,7,Bal:SL:ps,0
3,7,Bal:SL:Yd,0.000999999999976353
3,7,Bal:SL:pps,0.0010000000000332
3,8,Krls:single,0.0120000000000005
3,8,SL:single,3.17199999999997
3,8,Krls:cross,0.0400000000000205
3,8,SL:cross,2.53000000000003
3,8,Krls:ps,0.00999999999999091
3,8,SL:ps,2.83699999999999
3,8,Krls:pps,0.00599999999997181
3,8,SL:pps,2.77099999999996
3,8,Bal:SL:ps,0
3,8,Bal:SL:Yd,0
3,8,Bal:SL:pps,0.00200000000000955
3,9,Krls:single,0.00799999999998136
3,9,SL:single,2.959
